VelocidadTroquelado,InspeccionVisual,FuerzaTroquelado
2.96,Buena,148.90002
2.29,Buena,159.21804
1.79,Buena,155.25208
2.84,Buena,161.71153
2.65,Buena,168.47793
1.67,Buena,167.05179
2.46,Mala,163.54653
2.58,Buena,161.77204
1.72,Buena,143.69129
2.52,Buena,164.96881
2.68,Buena,157.12506
1.57,Buena,160.91003
2.46,Buena,151.93313
1.51,Buena,161.13358
1.89,Buena,153.31126
1.53,Buena,156.93423
2.77,Buena,145.50786
1.93,Buena,151.07662
2.01,Buena,163.98593
2.5,Buena,156.59715
1.95,Mala,146.68297
2.69,Buena,161.29749
1.62,Buena,163.36387
2.35,Buena,165.67395
2.43,Buena,147.07411
1.5,Buena,155.41329
2.89,Buena,156.36623
1.92,Buena,156.89614
2.57,Buena,145.84735
1.64,Buena,155.63555
2.73,Buena,156.45727
2.66,Buena,161.73671
2.4,Mala,154.04066
2.53,Buena,154.85273
2.93,Buena,156.83987
2.56,Buena,155.81001
1.89,Buena,151.02499
1.83,Buena,167.27503
1.84,Buena,147.49943
2.16,Buena,166.97841
1.55,Buena,158.382
2.78,Buena,158.97816
2.5,Buena,158.0734
1.69,Buena,156.41306
2.29,Buena,159.07882
2.48,Buena,146.77725
2.49,Buena,158.84309
2.14,Buena,156.91316
1.55,Buena,144.96312
1.92,Buena,143.21031
2.14,Buena,152.43626
1.81,Buena,158.54187
1.59,Buena,155.38272
1.56,Buena,142.54377
1.78,Buena,151.2966
1.77,Buena,158.92334
1.52,Buena,155.53766
2.54,Buena,166.20961
2.1,Buena,156.38978
2.94,Buena,161.19834
2.65,Buena,168.417
2.59,Buena,156.84935
2.55,Buena,156.28509
1.79,Buena,153.3477
2.25,Buena,160.89486
1.62,Buena,163.53127
2.48,Buena,144.22638
2.98,Buena,157.44318
2.95,Buena,166.58633
1.8,Mala,148.88939
2.2,Buena,154.90981
2.89,Buena,141.51867
2.98,Buena,152.70609
1.99,Buena,149.66517
1.5,Buena,144.85935
2.15,Buena,151.67179
2.21,Buena,161.76484
2.56,Buena,159.65384
1.6,Buena,166.94302
1.65,Buena,149.70663
2.37,Buena,141.98177
2.06,Buena,151.04982
1.89,Buena,169.66782
1.63,Buena,157.92497
2.67,Buena,157.87082
1.81,Buena,161.51268
