TemperaturaHorno,TemperaturaMaterial,clase,,
798,670,buena,,
798,668,buena,,
744,686,buena,,
744,686,buena,,
744,686,buena,,
744,686,buena,,
744,686,buena,,
744,686,buena,,
744,686,buena,,
744,686,buena,,
744,686,buena,,
744,686,buena,,
744,686,buena,,
744,686,buena,,
744,686,buena,,
744,686,buena,,
744,686,buena,,
744,686,buena,,
744,686,buena,,
744,686,buena,,
739,676,buena,,
739,672,buena,,
739,672,buena,,
739,666,buena,,
738,682,buena,,
738,682,buena,,
738,682,buena,,
738,682,buena,,
738,682,buena,,
738,682,buena,,
738,682,buena,,
738,682,buena,,
738,682,buena,,
738,682,buena,,
738,682,buena,,
738,682,buena,,
738,682,buena,,
738,682,buena,,
738,682,buena,,
738,682,buena,,
738,682,buena,,
738,682,buena,,
738,682,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
734,676,buena,,
732,678,buena,,
732,678,buena,,
732,678,buena,,
732,678,buena,,
732,678,buena,,
732,678,buena,,
732,678,buena,,
732,678,buena,,
732,678,buena,,
732,678,buena,,
732,678,buena,,
732,678,buena,,
732,678,buena,,
732,678,buena,,
732,678,buena,,
732,678,buena,,
732,678,buena,,
732,678,buena,,
732,678,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
728,672,buena,,
726,658,buena,,
726,674,buena,,
726,674,buena,,
726,674,buena,,
726,674,buena,,
726,674,buena,,
726,674,buena,,
