TemperaturaHorno,TemperaturaMaterial,clase
732,678,buena
701,656,mala
735,679,mala
700,656,mala
740,685,mala
700,653,mala
700,656,mala
728,674,mala
720,670,buena
710,657,mala
734,676,buena
700,650,buena
734,684,mala
720,666,buena
708,653,mala
709,658,mala
740,686,mala
703,654,mala
700,651,mala
740,685,mala
734,676,buena
704,657,mala
710,658,buena
722,668,buena
720,666,buena
710,658,buena
703,659,mala
738,682,buena
726,674,buena
738,682,buena
729,686,mala
728,677,mala
737,680,mala
734,676,buena
739,681,mala
700,650,buena
710,660,buena
739,666,buena
704,660,mala
709,658,mala
728,675,mala
739,676,mala
720,666,buena
735,676,mala
705,650,mala
732,678,buena
726,658,buena
716,664,buena
706,660,mala
720,666,buena
708,657,mala
707,653,mala
732,684,mala
739,685,mala
736,685,mala
730,676,mala
735,682,mala
705,654,buena
733,683,mala
731,679,mala
715,662,buena
705,654,buena
734,676,buena
710,660,buena
728,672,buena
715,662,buena
710,660,buena
706,655,mala
734,676,buena
735,678,mala
740,676,mala
735,674,mala
728,685,mala
720,666,buena
729,675,mala
738,682,buena
738,682,buena
730,682,mala
710,658,buena
710,658,buena
728,672,buena
720,666,buena
729,683,mala
729,684,mala
734,676,buena
732,678,buena
700,653,mala
730,684,mala
710,658,buena
705,654,buena
710,658,buena
710,658,buena
730,676,mala
700,650,buena
700,654,mala
729,674,mala
740,684,mala
709,657,mala
715,662,buena
736,686,mala
738,676,mala
744,686,buena
734,676,buena
729,678,mala
720,666,buena
707,654,mala
705,654,buena
728,672,buena
732,679,mala
732,678,buena
702,653,mala
716,664,buena
729,674,mala
704,656,mala
700,650,buena
733,680,mala
706,656,mala
732,678,buena
744,686,buena
707,650,mala
728,672,buena
710,658,buena
730,678,mala
705,654,buena
722,668,buena
702,654,mala
700,650,buena
728,672,buena
730,680,mala
716,664,buena
738,682,buena
738,683,mala
705,654,buena
716,664,buena
736,678,mala
732,678,buena
710,658,buena
710,660,buena
736,678,mala
739,678,mala
710,658,buena
736,685,mala
728,686,mala
705,654,buena
704,656,mala
737,675,mala
740,678,mala
744,686,buena
730,680,mala
728,672,buena
710,658,buena
716,664,buena
710,660,buena
715,662,buena
744,686,buena
720,666,buena
707,657,mala
707,653,mala
737,680,mala
720,666,buena
702,654,mala
731,678,mala
702,659,mala
706,652,mala
730,678,mala
706,659,mala
710,658,buena
702,652,mala
733,677,mala
732,678,buena
722,668,buena
704,653,mala
710,660,buena
735,682,mala
710,658,buena
720,666,buena
706,650,mala
704,658,mala
726,674,buena
703,658,mala
710,655,mala
701,656,mala
734,676,buena
704,659,mala
735,676,mala
700,650,buena
731,686,mala
733,675,mala
720,666,buena
701,655,mala
700,650,buena
734,676,buena
703,656,mala
735,679,mala
720,666,buena
730,683,mala
710,659,mala
700,659,mala
700,650,buena
730,676,mala
720,666,buena
710,660,buena
728,675,mala
732,678,buena
705,654,buena
720,670,buena
740,677,mala
733,686,mala
715,662,buena
722,668,buena
734,676,buena
710,660,buena
726,674,buena
734,676,buena
734,676,buena
731,686,mala
737,683,mala
706,659,mala
728,680,mala
726,674,buena
732,678,buena
722,668,buena
722,668,buena
738,682,buena
706,659,mala
720,670,buena
715,666,buena
702,656,mala
710,658,buena
726,674,buena
705,656,mala
708,659,mala
722,668,buena
732,678,mala
744,686,buena
706,651,mala
706,654,mala
716,664,buena
715,662,buena
732,678,buena
708,650,mala
708,653,mala
700,650,buena
722,668,buena
710,660,buena
716,664,buena
716,664,buena
709,654,mala
710,658,buena
726,674,buena
737,676,mala
700,650,buena
702,658,mala
730,678,mala
708,652,mala
738,682,buena
710,652,mala
728,672,buena
703,654,mala
734,676,buena
715,662,buena
710,658,buena
707,660,mala
738,682,buena
701,659,mala
705,654,buena
705,654,buena
734,676,buena
706,658,mala
730,682,mala
715,662,buena
705,654,buena
710,652,mala
734,677,mala
710,660,buena
744,686,buena
700,654,mala
710,658,buena
732,678,buena
734,676,buena
730,677,mala
710,660,buena
739,675,mala
708,654,mala
720,670,buena
701,651,mala
708,650,mala
716,664,buena
709,651,mala
701,650,mala
710,658,buena
707,653,mala
703,651,mala
729,686,mala
720,666,buena
737,674,mala
705,654,buena
722,668,buena
715,662,buena
702,652,mala
730,686,mala
732,678,buena
706,659,mala
731,685,mala
728,672,buena
728,672,buena
710,660,buena
728,672,buena
703,658,mala
732,678,buena
709,659,mala
739,679,mala
728,674,mala
710,660,mala
736,684,mala
700,650,mala
744,686,buena
705,654,buena
734,676,buena
738,682,buena
722,668,buena
728,679,mala
729,680,mala
703,650,mala
720,666,buena
739,683,mala
703,653,mala
720,666,buena
733,682,mala
703,653,mala
715,662,buena
705,654,buena
708,655,mala
744,686,buena
744,686,buena
705,654,buena
715,662,buena
700,650,buena
706,653,mala
734,681,mala
708,652,mala
732,684,mala
700,650,buena
705,654,buena
710,658,buena
701,655,mala
744,686,buena
715,662,buena
739,672,buena
716,664,buena
704,656,mala
730,685,mala
734,685,mala
700,652,mala
710,658,buena
735,682,mala
720,666,buena
